MPN,Price
100-C85KF00,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/100-C85KF00 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
100-C97KF00,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/100-C97KF00 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
100-FA11,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/100-FA11 (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB29EAA80>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"
100-FA40,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/100-FA40 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 400 Bad Request')))"
100-FB20,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/100-FB20 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
100S-E205ED12C,N/A
140MG-I8P-D15,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/140MG-I8P-D15 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
140MT-C-ASA11,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/140MT-C-ASA11 (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2BA85C0>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
140MT-D9E-B25,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/140MT-D9E-B25 (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2BCEDE0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"
140MT-D9T-B10,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/140MT-D9T-B10 (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2A0DA90>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
