MPN,Price
440T-AKEYE100E,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/440T-AKEYE100E (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2B7EA20>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
4983-DD06,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/4983-DD06 (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB29EA150>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
5069-RTB18-SPRING,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/5069-RTB18-SPRING (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2B7C320>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"
700-HC24A1-4,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/700-HC24A1-4 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
700-HF32A24,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/700-HF32A24 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 400 Bad Request')))"
700-HLT2Z12,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/700-HLT2Z12 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
700-HN122,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/700-HN122 (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB1D05280>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
700-HP32Z24,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/700-HP32Z24 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
800F-ALM,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/800F-ALM (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
800FM-MP42,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/800FM-MP42 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
855BS-S45SL5,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/855BS-S45SL5 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
855PC-B24ME422,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/855PC-B24ME422 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
871T-G8B18,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/871T-G8B18 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
875L-N25NP30-D4,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/875L-N25NP30-D4 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
889D-F4ACDM-3,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/889D-F4ACDM-3 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
889D-F4ACDM-5,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/889D-F4ACDM-5 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
898P-P36PT-D8,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/898P-P36PT-D8 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
92-46,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/92-46 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
SK-R9-FAN14-F7A,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/SK-R9-FAN14-F7A (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
VPL-B0632T-PK14AA,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/VPL-B0632T-PK14AA (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
VPL-B1152F-PK14AA,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/VPL-B1152F-PK14AA (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
